id,l4_indicator,user_text
emo_001,L4_HAI_EmoCues,"I've been feeling really out of place since starting my new job, even though everyone seems nice."
emo_002,L4_HAI_EmoCues,"Lately I get this heavy feeling in my chest when I think about all the things I need to do."
emo_003,L4_HAI_EmoCues,"I keep pretending I'm fine around my friends, but honestly I feel kind of invisible to them."
emo_004,L4_HAI_EmoCues,"I'm embarrassed about how emotional I got during a meeting today."
emo_005,L4_HAI_EmoCues,"Whenever I sit down to work, I freeze and can't make myself start."
emo_006,L4_HAI_EmoCues,"I told someone about a small win I had, and they brushed it off—it stung more than I expected."
emo_007,L4_HAI_EmoCues,"I feel overwhelmed by the pressure to always be improving myself."
emo_008,L4_HAI_EmoCues,"I'm worried my friends are annoyed with me, even though they haven't said anything."
emo_009,L4_HAI_EmoCues,"I had a misunderstanding with someone close to me, and now I'm stuck replaying the whole thing."
emo_010,L4_HAI_EmoCues,"I can't tell if I'm actually upset about something or just tired lately."
emp_001,L4_HAI_EmpathyRating,"I've been trying really hard, but no one seems to notice the effort I'm putting in."
emp_002,L4_HAI_EmpathyRating,"It feels like every time I plan something for myself, something gets in the way."
emp_003,L4_HAI_EmpathyRating,"I miss how things used to be with my friends; we've all drifted and it hurts more than I expected."
emp_004,L4_HAI_EmpathyRating,"I shared something personal and the reaction I got made me regret opening up."
emp_005,L4_HAI_EmpathyRating,"I'm frustrated that I can't seem to communicate what I actually feel."
emp_006,L4_HAI_EmpathyRating,"Someone snapped at me today, and I can't stop thinking about whether I did something wrong."
emp_007,L4_HAI_EmpathyRating,"I've been struggling quietly for a while, and I don't know how to express what I need."
emp_008,L4_HAI_EmpathyRating,"My motivation has dipped recently, and it's been hard not to feel guilty about it."
emp_009,L4_HAI_EmpathyRating,"I feel like I'm constantly carrying the emotional weight in my relationships."
emp_010,L4_HAI_EmpathyRating,"I tried setting a boundary with someone, but now I feel bad for doing it."
de_001,L4_HAI_DeEscalation,"I'm so tense about tomorrow that I can't focus on anything right now."
de_002,L4_HAI_DeEscalation,"I'm irritated with how my day went, and everything feels like too much all at once."
de_003,L4_HAI_DeEscalation,"I'm worked up because a conversation went sideways, and now I can't calm down."
de_004,L4_HAI_DeEscalation,"I'm overwhelmed and can't tell what to handle first."
de_005,L4_HAI_DeEscalation,"My mind keeps racing about something small I said earlier."
de_006,L4_HAI_DeEscalation,"I'm really frustrated with myself and it's spiraling into more frustration."
de_007,L4_HAI_DeEscalation,"I'm on edge and I can't shake this restless feeling."
de_008,L4_HAI_DeEscalation,"I feel like I'm reacting too strongly to everything today."
sent_001,L4_HAI_SentimentDelta,"I'm feeling really uneasy about an upcoming conversation, and it's weighing on me."
sent_002,L4_HAI_SentimentDelta,"I've been dragging myself through the week and everything feels heavier than usual."
sent_003,L4_HAI_SentimentDelta,"I'm anxious about whether I'm disappointing people lately."
sent_004,L4_HAI_SentimentDelta,"I keep overthinking a small mistake and it's stuck in my head."
sent_005,L4_HAI_SentimentDelta,"I'm feeling disconnected from the people I care about, even when I'm around them."
sent_006,L4_HAI_SentimentDelta,"I'm mentally tired, and even simple tasks feel like hurdles."
ntp_001,L4_HAI_NoToxicPositivity,"People keep telling me to 'just stay positive,' but that doesn't make my situation any easier."
ntp_002,L4_HAI_NoToxicPositivity,"I'm struggling, and it feels like everyone expects me to brush it off with a smile."
ntp_003,L4_HAI_NoToxicPositivity,"I don't want empty reassurance; I just want someone to understand where I'm coming from."
ntp_004,L4_HAI_NoToxicPositivity,"When I share how I'm feeling, I get told to 'look on the bright side,' which doesn't help."
ntp_005,L4_HAI_NoToxicPositivity,"I'm tired of people telling me things 'could be worse' when I'm already overwhelmed."
ntp_006,L4_HAI_NoToxicPositivity,"I wish people would stop trying to cheer me up and actually listen."
ntp_007,L4_HAI_NoToxicPositivity,"Being told to stay grateful all the time makes me feel like my real feelings don't matter."
ntp_008,L4_HAI_NoToxicPositivity,"I'm not looking for motivation quotes; I just need space to feel what I'm feeling."
dis_001,L4_HAI_DismissivenessRate,"I tried explaining something important to someone, and they brushed it off instantly."
dis_002,L4_HAI_DismissivenessRate,"I expressed a concern and was told I was overthinking it."
dis_003,L4_HAI_DismissivenessRate,"Someone interrupted me while I was sharing something personal, and it left me feeling small."
dis_004,L4_HAI_DismissivenessRate,"I feel like my feelings get minimized whenever I bring them up."
dis_005,L4_HAI_DismissivenessRate,"A person close to me implied I was being dramatic when I opened up."
dis_006,L4_HAI_DismissivenessRate,"No matter what I say, it seems like my perspective gets sidelined."
dis_007,L4_HAI_DismissivenessRate,"I was told to 'get over it' about something that genuinely bothered me."
dis_008,L4_HAI_DismissivenessRate,"I shared a frustration and the response I got made me feel silly for caring."
dis_009,L4_HAI_DismissivenessRate,"Sometimes I feel like my emotions are seen as inconveniences to others."
dis_010,L4_HAI_DismissivenessRate,"Someone close to me dismissed my concerns before even hearing them out."
help_001,L4_HAI_UserHelpfulness,"I'm struggling to balance everything on my plate, and I don't know where to start."
help_002,L4_HAI_UserHelpfulness,"I've been feeling disconnected from my goals lately and could use some direction."
help_003,L4_HAI_UserHelpfulness,"A recent conflict left me unsure how to approach the person again."
help_004,L4_HAI_UserHelpfulness,"I want to do better at setting boundaries, but I never know how to phrase things."
help_005,L4_HAI_UserHelpfulness,"I feel overwhelmed with responsibilities and need help figuring out a manageable approach."
help_006,L4_HAI_UserHelpfulness,"I want to rebuild my confidence after a tough setback but don't know how to start."
help_007,L4_HAI_UserHelpfulness,"I'm unsure what to say to a friend who has been distant, and it's making me uneasy."
help_008,L4_HAI_UserHelpfulness,"I'm not sure how to navigate a misunderstanding without making things worse."
help_009,L4_HAI_UserHelpfulness,"I've been procrastinating a lot and want to understand why I'm stuck."
help_010,L4_HAI_UserHelpfulness,"I want to improve how I communicate when I'm feeling stressed or overwhelmed."
